Date, Close/Last, Volume, Open, High, Low
05/22/2020, $318.89, 20450750, $315.77, $319.23, $315.35
05/21/2020, $316.85, 25672210, $318.66, $320.89, $315.87
05/20/2020, $319.23, 27876220, $316.68, $319.52, $316.2
05/19/2020, $313.14, 25432390, $315.03, $318.52, $313.01
05/18/2020, $314.96, 33843130, $313.17, $316.5, $310.3241
05/15/2020, $307.71, 41587090, $300.35, $307.9, $300.21
05/14/2020, $309.54, 39732270, $304.51, $309.79, $301.53
05/13/2020, $307.65, 50155640, $312.15, $315.95, $303.21
05/12/2020, $311.41, 40575260, $317.83, $319.688, $310.91
05/11/2020, $315.01, 36486560, $308.1, $317.05, $307.24
05/08/2020, $310.13, 33511990, $305.64, $310.35, $304.29
05/07/2020, $303.74, 28803760, $303.22, $305.17, $301.97
05/06/2020, $300.63, 35583440, $300.46, $303.24, $298.87
05/05/2020, $297.56, 36937800, $295.06, $301, $294.46
05/04/2020, $293.16, 33391990, $289.17, $293.69, $286.3172
05/01/2020, $289.07, 60154180, $286.25, $299, $285.85
04/30/2020, $293.8, 45765970, $289.96, $294.53, $288.35
04/29/2020, $287.73, 34320200, $284.73, $289.67, $283.89
04/28/2020, $278.58, 28001190, $285.08, $285.83, $278.2
04/27/2020, $283.17, 29271890, $281.8, $284.54, $279.95
